id,name,address,city,county,state,zip,fips,lat,lon,program,rental_type,profit_type,management,borrower_name,borrower_type,units,ra_units,ra_share,vacant_units,handicapped_units,lihtc,lihtc_expires,restrictive_clause_expires,exit_year,years_to_exit,loan_payoff_year,prepay_eligible_year,prepay_eligible_now,natural_maturity,upb_maturity,loan_amt,interest_rate,orig_loan_term,date_of_operation
20477,ASACARSARMIUT HOUSING PROJECT,OLD AIRPORT ROAD # 1,MT. VILLAGE,,AK,99632,02158,62.088022,-163.723784,Section 515 Rural Rental Housing,Family,Non-Profit,"NORTH STAR MANAGEMENT, LLC",ASACARSARMIUT TRIBAL COUNCIL,Public Body,8,8,1.0,1,0,False,,2033-10-01,2033,7,2053,2033,False,2033-09-23,2053-10-15,1000000.0,6.38,30.0,2003-10-01
21413,AURORA VISTA I APARTMENTS,104 N. GILL STREET PO BOX 2331,KENAI,,AK,996117415,02122,60.561913,-151.281189,Section 515 Rural Rental Housing,Family,Limited Profit,MARS HOLDING LLC,AURORA VISTA L.P.,Limited Partnership,24,24,1.0,1,0,True,2021-09-16,2036-09-16,2034,8,2034,2035,False,2035-01-07,2034-12-28,741555.14,11.88,28.334247,2006-09-01
21414,AURORA VISTA II APARTMENTS,306-308 BIRCH STREET PO BOX 2331,KENAI,,AK,996117645,02122,60.559246,-151.266052,Section 515 Rural Rental Housing,Family,Limited Profit,MARS HOLDING LLC,AURORA VISTA L.P.,Limited Partnership,8,8,1.0,0,0,True,2021-09-16,2036-09-16,2028,2,2028,2029,False,2029-02-07,2028-12-01,147507.97,8.5,22.416438,2006-09-01
21415,AURORA VISTA III APARTMENTS,203-205 WALKER LANE PO BOX 2331,KENAI,,AK,996116845,02122,60.558197,-151.233597,Section 515 Rural Rental Housing,Family,Limited Profit,MARS HOLDING LLC,AURORA VISTA L.P.,Limited Partnership,16,15,0.9375,0,0,True,2021-09-16,2036-09-16,2033,7,2033,2033,False,2033-04-08,2033-03-21,419492.8,10.75,26.583562,2006-09-01
5533,BAYVIEW APARTMENTS,214 6TH STREET PO BOX 985,SEWARD,,AK,99664,02122,60.155766,-149.050781,Section 515 Rural Rental Housing,Family,Limited Profit,"NORTH STAR MANAGEMENT, LLC","BAYVIEW APTS. ASSOC L.P. CORDES DEV. GROUP I, INC.",Limited Partnership,18,17,0.9444,3,2,True,2015-06-01,2031-02-02,2031,5,2051,2031,False,2031-01-26,2051-01-03,754302.08,7.38,30.0,2000-06-01
22614,BIRCHWOOD APARTMENT EAGLE RIVER VOA AFFORDABLE,16411 HOME PLACE ROAD PO BOX 770756,EAGLE RIVER,,AK,995777772,02020,61.322933,-149.576736,Section 515 Rural Rental Housing,Family,Limited Profit,VOA NATIONAL HOUSING CORP,EAGLE RIVER VOA AFFORDABLE,Limited Partnership,57,56,0.9825,0,0,True,2025-09-30,2040-09-30,2040,14,2060,2040,False,2040-09-22,2060-08-14,385508.63,4.25,30.0,1977-03-09
23700,CHANNEL TERRACE 2107 ELLIOTT AVE,1717 DOUGLAS HIGHWAY,JUNEAU,,AK,998245130,02110,58.28101,-134.40422,Section 515 Rural Rental Housing,Family,Limited Profit,"FPI MANAGEMENT, INC",AK PRESEVATION CHANNEL L.P.,Limited Partnership,22,22,1.0,1,0,True,2030-04-01,2045-04-01,2045,19,2065,2045,False,2045-03-24,2065-04-20,532809.51,3.0,30.0,1984-09-10
23425,CHINOOK VILLA 2107 ELLIOTT AVE,"1200 CENTURY CIRCLE, #33",WASILLA,,AK,99687,02170,61.569824,-149.449615,Section 515 Rural Rental Housing,Elderly,Limited Profit,"FPI MANAGEMENT, INC",AK PRESERVATION CHINNORTH LIMITED PARTNERSHIP,Limited Partnership,32,31,0.9688,1,2,True,2028-10-31,2033-10-31,2043,17,2063,2043,False,2043-10-24,2063-11-15,2008734.42,3.75,30.0,1993-10-08
22642,CONIFER WOODS APARTMENTS,4014 BEN WALTERS LN,HOMER,,AK,99603,02122,59.649422,-151.519577,Section 515 Rural Rental Housing,Family,Limited Profit,"RED TAIL RESIDENTIAL, LLC","APD HOUSING PARTNER 21, LTD PTNRSHIP",Limited Partnership,32,31,0.9688,2,0,True,2025-10-26,2040-10-26,2040,14,2060,2040,False,2040-10-18,2060-09-13,648225.53,4.25,30.0,2010-10-01
23837,CORDOVA MEWS APARTMENTS,401 ORCA AVE,CORDOVA,,AK,99574,02261,61.08011,-146.239784,Section 515 Rural Rental Housing,Family,Limited Profit,"NORTH STAR MANAGEMENT, LLC",CORDOVA MEWS ASSOCIATES OF,Limited Partnership,22,21,0.9545,1,0,True,2031-01-01,2046-01-01,2045,19,2066,2045,False,2045-12-30,2066-01-28,1160278.5,3.25,30.0,2016-01-07
24603,"DUSTY TRAILS ASSOCIATES OF HAINES, LLC",270 2ND AVE S,HAINES,,AK,99827,02100,59.23006,-135.44623,Section 515 Rural Rental Housing,Family,Limited Profit,"NORTH STAR MANAGEMENT, LLC","DUSTY TRAILS ASSOCIATES OF HAINES, LLC",Other,30,29,0.9667,2,2,True,2034-12-26,2049-12-26,2049,23,2069,2049,False,2049-12-18,2069-12-19,2090402.86,3.0,30.0,1992-10-01
22349,FIR TERRACE APARTMENTS,2610 MILL BAY ROAD,KODIAK,,AK,99615,02150,57.809227,-152.36433,Section 515 Rural Rental Housing,Family,Limited Profit,"RED TAIL RESIDENTIAL, LLC",APD HOUSING 18 LP,Limited Partnership,60,58,0.9667,11,0,True,2024-10-28,2039-10-28,2039,13,2059,2039,False,2039-10-21,2059-11-06,659975.55,5.0,30.0,2009-10-28
22338,FOREST APARTMENTS,330 S COBB STREET,PALMER,,AK,99645,02170,61.603815,-149.119212,Section 515 Rural Rental Housing,Family,Limited Profit,"RED TAIL RESIDENTIAL, LLC",APD HOUSING 18 LP,Limited Partnership,32,32,1.0,2,0,True,2024-10-28,2039-10-28,2039,13,2059,2039,False,2039-10-21,2059-10-07,517254.17,5.0,30.0,1979-01-17
20791,GATEWAY APARTMENTS,1810 PHOENIX ROAD,SEWARD,,AK,99664,02122,60.124997,-149.446068,Section 515 Rural Rental Housing,Family,Limited Profit,"NORTH STAR MANAGEMENT, LLC","GATEWAY-SEWARD ASSOCIATES, L.P.",Limited Partnership,20,19,0.95,1,0,True,2015-06-29,2039-08-01,2039,13,2039,2039,False,2039-07-27,2039-07-26,46285.52,3.12,20.0,1985-10-18
23944,GLACIER PARK APARTMENTS,660 S. YORKTOWN DR.,KETCHIKAN,,AK,99901,02130,55.345856,-131.63446,Section 515 Rural Rental Housing,Family,Limited Profit,"NORTH STAR MANAGEMENT, LLC",GLACIER PARK KETCHIKAN ASSOCIATE,Limited Partnership,22,21,0.9545,2,0,True,2031-08-01,2046-08-01,2047,21,2067,2047,False,2047-12-12,2067-12-20,575527.08,3.0,30.0,1987-05-08
23302,HARBOR RIDGE APARTMENTS,4047 MAIN STREET,HOMER,,AK,996037575,02122,59.649387,-151.543594,Section 515 Rural Rental Housing,Family,Limited Profit,"NORTH STAR MANAGEMENT, LLC",HARBOR RIDGE-HOMER ASSOCIATES L.P.,Limited Partnership,24,23,0.9583,1,0,True,2027-12-31,2043-05-07,2043,17,2063,2043,False,2043-04-30,2063-05-03,619137.59,3.12,30.0,1985-04-18
23198,KIMBERLY COURT,1821 SWETMANN PO BOX 2048,SEWARD,,AK,99664,02122,60.125035,-149.444368,Section 515 Rural Rental Housing,Family,Limited Profit,"FPI MANAGEMENT, INC",AK PRESERVATION KIMBERLY L.P.,Limited Partnership,24,23,0.9583,2,3,True,2027-11-29,2042-11-29,2042,16,2062,2042,False,2042-11-22,2062-10-02,1381227.36,3.12,30.0,1989-12-20
22643,LAURAWOODS ARMS,131 SHADY LANE,SOLDOTNA,,AK,99669,02122,60.489002,-151.06781,Section 515 Rural Rental Housing,Elderly,Limited Profit,"RED TAIL RESIDENTIAL, LLC","APD HOUSING PARTNER 21, LTD PTNRSHIP",Limited Partnership,23,22,0.9565,1,0,True,2025-10-26,2040-10-26,2040,14,2060,2040,False,2040-10-18,2060-09-13,708028.97,4.25,30.0,2010-10-01
4423,LULU HERON APARTMENTS,405 PTARMIGAN ROAD PO BOX 767,BETHEL,,AK,99559,02050,60.805058,-161.806641,Section 515 Rural Rental Housing,Elderly,Non-Profit,"NORTH STAR MANAGEMENT, LLC",AVCP DEVELOPMENT CORPORATION,Corporation,16,15,0.9375,1,0,True,2014-02-01,2029-02-09,2029,3,2049,2029,False,2029-02-01,2049-02-26,1505468.75,6.25,30.0,1999-02-09
20594,MUKLUNG MANOR APARTMENTS,1259 TOWER ROAD PO BOX 50,DILLINGHAM,,AK,99576,02070,59.044689,-158.458389,Section 515 Rural Rental Housing,Family,Limited Profit,BRISTOL BAY HOUSING AUTHORITY,MUKLUNG MANOR APTS ASSOCIATES LIMITED PARTNERSHIP,Limited Partnership,16,16,1.0,5,2,True,2018-12-08,2034-02-01,2033,7,2053,2033,False,2033-12-30,2053-11-14,1355498.44,6.38,30.0,2004-01-07
